S. No.,TITLE,PRICE,RATING,REVIEW,AVAILIBILITY,,
1,"Wireless Controller Compatible with PS4/Slim/Pro,Wireless Controller for Playstation 4 with Dual Vibration/6-Axis Motion Sensor/Audio Function Compatible with PC/Windows 7/8/10/11",$69.99 ,4.60,3901,Not Available,,
2,PlayStation 4 Slim 1TB Console,,4.7,15192,,,
3,PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8,8861,Only 3 left in stock - order soon,,
4,The Crew - PlayStation 4,$14.99 ,4.3,740,Not Available,,
5,"ZHCWM PS-4 Wireless Controller Compatible with PS-4/Pro/Slim,with Dual Vibration Game Remote",,4.5,247,In Stock,,
6,"HyperX Cloud Stinger Core - Gaming Headset for PlayStation 4 and PlayStation 5, Over-Ear Wired Headset with Mic, Passive Noise Cancelling, Immersive In-Game Audio, In-Line Audio Control, Black",$29.99 ,4.5,16366,Not Available,,
7,"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop (Red)",,4.4,8272,In Stock,,
8,PlayStation 4 500GB Console [Old Model][Discontinued],,4.6,13573,,,
9,Sony Playstation PS4 1TB Black Console,,4.7,864,,,
10,NBA 2K23 - PlayStation 4,$27.00 ,4.6,280,Not Available,,
11,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75 ,4.7,141207,Not Available,,
12,DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$64.00 ,4.7,141207,Not Available,,
13,"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5,1620,Not Available,,
14,DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00 ,4.7,141207,Not Available,,
15,"Wireless Play-station 4 Controller, Game Double Shock 4 Controller Compatible with Play-station 4/P-S4 Slim/ Pro Console, with Touch Panel, Dual Vibration, Audio Function (Green Camo)",$22.99 ,3.8,95,Only 3 left in stock - order soon,,
16,Sonic Colors Ultimate: Standard Edition - PlayStation 4,$14.99 ,4.7,216,Not Available,,
17,TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3,431,Not Available,,
18,PS5 Console â€“ God of War RagnarÃ¶k Bundle,,4.7,216,Available by invitation,,
19,Sackboy: A Big Adventure - PlayStation 4,$19.99 ,4.8,1458,In Stock.,,
20,Grid Legends - PlayStation 4 Standard Edition,,4.4,25,,,
21,"Wireless Controller for PS4 Dualshocked 4 Gaming Pro Controller Compatible with PS4 Pro,Slim with Built-in Speakers/Turbo/Advanced Buttons Programming/Type-C Cable and 800mAh Rechargeable Battery",,4,176,Only 6 left in stock - order soon,,
22,"2 Pack Wireless Controller for PS4,EEIDC Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Blue and Purple)",$43.99 ,,,Not Available,,
23,Mount & Blade 2: Bannerlord - PlayStation 4,$49.99 ,4.80,8,Not Available,,
24,Turok (Limited Run #423) - PlayStation 4,,4.90,6,Not Available,,
25,NBA 2K23 - PlayStation 4,$27.00 ,4.6,280,In Stock,,
26,"Wireless Play-station 4 Controller, Game Double Shock 4 Controller Compatible with Play-station 4/P-S4 Slim/ Pro Console, with Touch Panel, Dual Vibration, Audio Function (Green Camo)",$22.99 ,3.8,95,Only 3 left in stock - order soon.,,
27,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75 ,4.7,141207,Not Available,,
28,The Crew - PlayStation 4,$14.99 ,4.3,740,Not Available,,
29,"ZHCWM PS-4 Wireless Controller Compatible with PS-4/Pro/Slim,with Dual Vibration Game Remote",,4.5,247,In Stock,,
30,"HyperX Cloud Stinger Core - Gaming Headset for PlayStation 4 and PlayStation 5, Over-Ear Wired Headset with Mic, Passive Noise Cancelling, Immersive In-Game Audio, In-Line Audio Control, Black",$29.99 ,4.5,16366,Not Available,,
31,"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop (Red)",,4.4,8272,In Stock,,
32,DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$64.00 ,4.7,141207,Not Available,,
33,"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5,1620,Not Available,,
34,DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00 ,4.7,141207,Not Available,,
35,TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3,431,Not Available,,
36,Sonic Colors Ultimate: Standard Edition - PlayStation 4,$14.99 ,4.7,216,In Stock,,
37,Sackboy: A Big Adventure - PlayStation 4,$19.99 ,4.8,1458,Not Available,,
38,Grid Legends - PlayStation 4 Standard Edition,,4.4,25,,,
39,"Wiv77 2 Pack Controller Wireless Intended for PS4 Controller/Playstation 4 Controller Console/PC, Bluetooth&Wired Connection/Smooth Touchpad/Two Motors/Headphone Jack(Titanium Blue and Craystal Blue)",,3.8,17,Not Available,,
40,"Wireless Controller for PS4 Dualshocked 4 Gaming Pro Controller Compatible with PS4 Pro,Slim with Built-in Speakers/Turbo/Advanced Buttons Programming/Type-C Cable and 800mAh Rechargeable Battery",,4,176,Not Available,,
41,$100 PlayStation Store Gift Card [Digital Code],$100.00 ,4.7,244306,Available now.,,
42,God of War Hits - PlayStation 4,$9.00 ,4.8,10274,In Stock,,
43,"2 Pack Wireless Controller Compatible with P-4 Controller, Wiv77 Game Remotes Works with P-4 Controller, Control/Joystick/Gamepad/Mando/Matte with Charging Cable,Gold and Titanium Blue, 2022",,5,2,In Stock,,
44,Upgraded Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.7,40,,,
45,"2 Pack Wireless Controller for PS4,EEIDC Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Blue and Purple)",$43.99 ,,,Not Available,,
46,"2 Pack Wireless Controller for PS4,EEIDC Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Blue and Purple)",$43.99 ,,,Not Available,,
47,Turok (Limited Run #423) - PlayStation 4,,3.8,6,Not Available,,
48,"FOBGEL Wired Gaming Controller for PS4, Remote Control for Sony Playstation 4 Pro Slim PC, Double Shock Analog Joysticks, Plug and Play, 6.6ft Cable, Slip-Proof Grip, Black/Blue (blue)",,,,Not Available,,
